ID,target,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7
031ddd56a,680000,-0.270817139,-0.137598512,0.1534884623,-0.127616934,-0.250814785,-0.187000218,-0.103964264
032818895,8160000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
032beb98c,28000000,-0.025417933,-0.264115462,-0.02880523,-0.11238894,0.6646485469,0.2963500196,0.4971160893
03498d10d,101000,-0.292862247,-0.187483374,0.163337355,-0.084496984,-0.04491614,-0.135958123,0.0702446053
034c32bb4,9000000,8.3887648104,-12.25722725,-16.38535177,2.1298192239,-10.68158323,-2.950522565,1.9109658719
034e7a354,12000000,0.583119603,-0.561668661,-0.666234423,0.5531003071,0.3896485904,-0.263535866,0.0328941257
035419398,1068000,0.9025833411,-0.848772884,0.1210796662,1.3515489863,-1.217561956,0.8822417446,0.7663448932
0357f3417,10000000,0.7190028611,-0.397511433,2.1141924348,0.9246597889,2.978443143,-2.274697449,1.0256153889
035b68a24,25000000,0.4256423433,-0.692823789,-0.16006376,-0.139689162,1.5876711159,0.1680309937,1.2381375654
0360e2d7e,78000,1.9278918392,-1.999074011,-4.115645775,1.9260756389,-1.435361035,2.2032371001,1.5761426164
03967601f,5000000,-0.204427906,-0.370327178,0.0511510772,-0.071027426,0.0378278069,-0.117702089,-0.103675607
03a963ee8,4000000,-0.263959837,-0.23274306,0.0168214811,-0.061042701,-0.206877071,-0.136059412,0.0709664547
03c23ecdf,32500000,16.871401905,-1.609289752,14.528132583,6.202088705,10.496480254,-16.31426159,19.628242611
03d938c35,200000,0.045634454,-0.515929032,-0.096321904,-0.286581192,0.2673832911,0.43314038,-0.215593403
03e106196,620000,-0.303069025,-0.193093156,0.111105077,-0.072164129,-0.111681498,-0.107400759,-0.044143448
03ec1414d,200000,0.1181338267,-0.215888965,0.7554400508,-0.111127601,0.7931435772,-0.357266839,1.3203101686
03f924fe6,10000000,0.3157115031,-0.526543967,0.7108249916,1.8196693675,0.9632834092,0.4834416886,-1.415709092
040843487,5000000,0.1660457987,-0.48224718,-0.651965329,-0.043255475,0.6567414713,-0.1856666,0.2423411776
0424bf0f1,2290000,-0.005975316,-0.09775437,-0.153620647,-0.107716237,0.5914121949,-0.188225242,0.1215737119
042cdc62a,3925333.34,-0.283243571,-0.178976912,0.1593452587,0.0265632649,-0.143122385,-0.137952352,-0.003529228
043a2b686,16000000,-0.295478183,-0.192325059,0.0996310907,-0.083586102,-0.049473865,-0.144500034,-0.023967153
048042a7b,56000,-0.284839687,-0.242270633,0.1019152599,-0.109081873,-0.003271292,-0.243864553,-0.061499572
04a154f62,9592000,0.0357174776,-0.823144526,0.8172587046,-0.521982973,1.3229859776,0.0258081646,-0.094797103
04b3efeb9,11333333.34,-0.271932798,-0.206393844,0.0258495635,-0.038297587,-0.143641824,-0.173218849,-0.155374638
04bc62ea4,1000000,0.0446131076,0.130762183,0.4396826488,-0.463126393,-0.099720135,-0.653779949,-0.72949402
04d0e4cf0,4500000,-0.016481837,-0.443619698,0.1033512812,-0.497401117,1.2964084993,-0.518703783,-0.022441569
04d0f44bc,4000000,-0.221319113,-0.177490979,-0.010341786,-0.037465336,0.0280269527,0.0763160686,0.3611741391
04ed5af8a,270000,-0.236656094,-0.318939296,0.1385866832,-0.112112873,0.2580168015,-0.219812674,-0.12195237
04fbf2d59,1160000,0.1139794286,-0.775268636,-0.679692376,-0.038446665,-0.981447492,-0.244789572,0.9235288095
0527dddcf,4000000,0.6822119661,-1.00021081,-0.250873329,-0.719634512,1.3790786738,1.1035011869,0.656056384
0528302c3,6008000,-0.285946861,-0.209893294,0.083457017,-0.074813118,-0.121663931,-0.066968536,-0.056161953
0536e2258,1000000,-0.299160833,-0.140701315,0.0711806775,-0.041943711,-0.07078026,-0.07921932,0.0368675043
054da754d,3000000,-0.162082859,-0.502531547,-0.054575538,-0.032819418,-0.124394124,-0.004322839,0.3508226716
056c44518,30000000,23.349335611,-8.628575474,11.001148134,-12.72060325,-3.02107867,6.860744411,7.3128077642
058c8b11d,1800000,1.1756516615,-1.028454496,-0.570607538,-1.395670654,0.7409885255,4.1815024092,-1.004812457
0599759ce,7000000,-0.107826298,-0.265384335,-0.071450489,-0.137581754,0.8078354074,-0.597588577,-0.09702538
059b6f1fa,2453200,0.4417106997,-0.061677608,0.7978625282,1.4723091525,1.413206518,-1.028948769,-1.77223397
059d00929,8000000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
05a4eee1d,185200,0.3023466429,-0.726692936,0.3097342347,-0.676274012,-0.379051558,0.0665726015,-0.629823
05b3e7717,10000000,0.7383312686,-0.058825539,2.2120060044,2.0631036684,2.5761406547,-1.140820961,0.8949685103
05bd95a13,40000000,1.117156747,-1.33590008,-1.438119648,0.2688483403,4.4993592053,-3.17989027,-3.985634764
05f28202c,600000,-0.237930213,-0.226828167,0.0350852141,-0.110853624,-0.245638046,0.0426627714,0.0557443903
061309a97,2000000,0.075764507,-0.214806077,0.6962809947,-0.356903162,1.4025934989,-0.596017064,0.766649021
06131d5cc,6000000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
062bb21e8,1000000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
06488c90a,2400000,-0.131489216,-0.134656795,0.2080265306,-0.02375277,-0.102827661,-0.314630134,0.0461914435
064d48f86,2580000,-0.168754367,-0.328854152,0.0117781121,0.003028178,-0.197785163,0.0133698195,0.2327594251
0662f9392,6000000,-0.169432428,-0.522588608,0.0938332211,-0.302931102,0.6157273621,-0.602788768,-0.118053689
066502f55,50000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
066608dee,100000,-0.247549394,-0.185132678,0.12574833,-0.000912598,-0.014774368,-0.225046917,0.0083107161
06843cff2,6000000,-0.098178523,-0.299089527,0.0759671857,-0.178697844,0.9536446099,0.0729906345,0.5680052418
068d32d7f,160000,0.5092698566,-0.183347451,0.1165003791,-0.874035353,1.1197540132,3.5440188917,-2.698400927
06cd03d09,3095200,3.1715428692,-3.052389667,-5.106317159,-0.259481331,-0.042607702,1.518638942,1.5376820802
06e503809,20000000,0.1848527304,0.01037283,0.0788709574,-0.248943722,2.0012275333,2.6078359207,2.6867964141
06f5eb3b9,1400000,-0.167756452,-0.242241485,0.0939357951,0.2877037555,-0.121192051,-0.004753934,0.0919405969
06f84353d,400000,-0.185212121,0.0593681242,-0.155895165,0.0260108553,0.3675512659,0.0345951898,0.1177487509
06f8d2837,600000,-0.313018353,-0.18205506,0.1071493905,-0.061389255,-0.129616844,-0.11695842,-0.016820484
06fab8e09,10000000,-0.165869207,-0.114117393,-0.11171496,-0.034535619,0.1703170957,0.1699542284,0.0556933721
070ff9b8c,1500000,-0.073782203,-0.231087852,0.0575781949,-0.256857582,0.7464079446,0.3376303885,-0.350485515
071329972,8000000,-0.272057036,-0.092906077,0.0010307817,-0.012508582,0.0428505833,-0.055712267,0.0275549073
071b32ef7,350000,-0.306040228,-0.170951609,0.0941998598,-0.062637792,-0.10195339,-0.115145075,-0.00247773
0733849bd,600000,0.126966048,-0.150501075,0.4386247887,-0.655110382,-1.514827912,0.3050179566,-0.773295344
07495ca77,25150000,1.3223595425,-0.237364352,-0.748518825,-1.00054047,0.8950981237,1.2100050802,0.9790649438
0763993d0,16000000,0.6623011255,-0.861729799,1.2184467405,-0.428287513,2.8131645039,-0.512435681,2.4909626351
0770e5ca3,20000000,0.3045673207,-0.189103193,0.7103385386,-1.007739943,-0.22074407,0.5833337751,-0.445940813
077787b5d,10814666.66,2.2257198048,-0.889347768,-1.235499568,-2.103631521,6.4253145101,-0.101183797,-1.069646174
07874a916,2000000,0.5278144207,-0.415824874,-0.26603952,-0.013077756,1.5345440458,1.692767489,-0.612202633
078c9588e,3000000,-0.30530408,-0.203802306,0.0910873378,-0.054006605,-0.150156461,-0.1216736,-0.020450345
07902a079,3000000,-0.271673619,-0.266549574,0.2152804989,-0.117950906,0.1133699224,0.0003083286,0.1489627783
07954eaf6,800000,5.9503011279,-6.956872724,-10.06534486,0.7171859992,2.0357980493,-6.195719185,-1.06813975
079a1e508,18000000,-0.185808704,-0.150448287,0.1881334607,0.4091234378,-0.253249577,-0.052486367,0.1914945711
07b34096c,34000,-0.230277697,-0.302565364,0.0499294217,-0.088796926,-0.204918611,0.0226850968,-0.248487966
07b7baef9,4000000,-0.135417666,-0.362581147,0.1297762555,-0.208202424,0.7356922872,-0.423150837,0.1767844045
07d01b837,2600000,1.2079929279,-2.279612345,-0.852057677,-1.17668687,3.6776006966,-3.072270843,-1.075255127
07eb3e75d,25020000,0.5304224108,-0.249399592,-0.87427089,0.9576966592,-0.614172376,0.6453144124,0.1175995408
0803772fe,10000000,-0.267143033,-0.075522362,0.0035622653,-0.024405185,0.0360678766,-0.0388268,0.0591598307
08067f653,2800000,-0.204975419,-0.327565182,0.0952155616,-0.224168775,0.3461801062,-0.402954622,-0.043205029
08207f2c5,52000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
0823dffa9,100000,0.0990814357,-0.860356618,-0.18204526,-0.347276304,1.1050998052,-0.649842597,0.3229626107
084461f11,700000,0.3056215356,-0.865537775,-0.4318279,0.0121517537,0.147970898,0.7928670899,0.3623570297
0850d8ad9,625000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
08557af71,32000000,23.628825906,-13.15590481,9.1282896305,-14.15325233,-0.899778876,11.579939426,14.748051682
085fb524c,3500000,0.4749868362,-0.436858965,0.7288469323,0.5843807101,0.9492863545,1.107097261,2.4675380751
086a34c77,4000000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
08799037c,26428571.42,1.9684825266,1.3019331857,-2.083419077,4.2680256635,1.9269209552,1.7608224358,4.2906569017
087ea0844,10000000,0.5380808048,-1.336574945,-0.955811218,0.1468684434,-0.508458733,-1.10472466,-1.814860339
089248d8e,14000000,-0.306300808,-0.165671213,0.0844204864,-0.053453513,-0.113149371,-0.120628102,-0.028513469
08b341d7d,2000000,1.5650914663,0.1730876523,-4.35317392,1.1415485479,-2.529229842,2.6875097086,2.70170537
08c00d3d8,2000000,0.079293888,-0.513695049,-0.276989822,-0.166422973,0.2528590442,-0.243224149,-0.578226814
08c1f91b0,200000,0.3113339612,-0.385992288,0.5069652257,0.068257957,-0.282212034,-0.410810612,-0.062190041
08cb967e3,2000000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
08cc2588d,163000,-0.032933522,-0.683584779,0.0709721774,-0.319070483,1.1503769355,-0.65881176,-0.105282395
08d27660b,3734230.76,2.7129771579,-2.679249853,3.1466564056,-2.072873016,2.4076594846,-3.28574594,0.8146597104
08ea2ecae,100000,-0.292631416,-0.212669877,0.101999639,-0.061267279,-0.093863101,-0.132807749,-0.057361834
08f544828,25100000,1.144243994,-1.005643295,-0.663435802,-1.569533557,2.6706371153,3.0210109826,-0.807526168
08f855d4b,2500000,-0.310843912,-0.176346426,0.0976189889,-0.059465368,-0.133251821,-0.11638063,-0.026674351
09183a245,7494000,-0.296266863,-0.186155377,0.1538708802,-0.080536611,-0.05960268,-0.133595456,0.0556072341
0929d169b,3000000,-0.303466697,-0.198775981,0.1021560214,-0.070755731,-0.088903168,-0.15685971,-0.017233896
0933f9d69,10000000,0.1315715256,-0.42807378,-0.001580708,-0.247487049,1.7434495811,-1.165009715,-0.07339356
0938ad7cf,3936000,1.2830841302,-1.861213687,-0.652578814,-0.756030919,3.6148764521,-0.419718152,-0.105879622
093c7e5e3,2610000,-0.22527785,-0.341326207,0.0712645475,-0.146178131,0.052066442,-0.302211112,-0.020181838
09470c145,60000,1.4221606995,-2.147611844,-2.306961394,0.6138566884,1.1254058961,-0.282042191,-0.510283963
0953d0754,454000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
0975e4371,6000000,-0.091227255,-0.151036246,-0.035592963,0.5478679997,-0.656575953,-0.10593431,0.2246005266
097b5abba,1704666.66,0.0945166147,-1.009315205,-0.36462357,0.1776906,-0.602235175,-0.134717065,0.3290942534
099606598,1600000,0.0829957843,-0.652618715,0.0362845962,-0.413758116,-0.516356131,-0.456595319,-0.180790673
09ae3dc3a,4000000,0.23391428,0.0355399356,0.9477916591,-0.373657477,-0.021524651,0.7242930094,-1.075026015
09ae920d2,11852000,-0.284181261,-0.24029774,0.1871062265,-0.05358395,0.0531558285,0.1071054512,0.2172892226
09b364ec5,8000000,0.5704716872,-1.736415836,-0.974939956,-0.423552752,-0.591980618,-0.511767171,2.0629993464
09bd7fed6,5000000,0.0608845312,0.0037377198,0.5410450836,-0.548934763,-0.581839984,-0.192346982,-0.305472921
09d3f15c7,410000,-0.207902135,-0.253507039,0.1226281334,-0.068700497,0.0891308447,0.0778726445,0.3202895287
09edae2ab,40000000,3.5867460094,-2.755496891,0.1589562389,-1.570037464,12.439834025,6.5378238799,-14.02517733
09faef65b,2000000,-0.310242212,-0.186989679,0.1044176719,-0.062121502,-0.136675889,-0.103130384,-0.018828995
0a0e74070,103000,-0.312136136,-0.181394857,0.1049399849,-0.060546038,-0.127067857,-0.115353777,-0.026313713
0a26a4be2,21333333.34,2.0011167758,-2.348154462,0.1660840571,-2.855794846,11.343602943,-3.028712813,2.7842337226
0a3df71ab,100000,1.4929636618,-1.151626489,-0.757012108,-1.797394433,2.2457578842,3.3416294653,-0.968161117
0a48a49fa,7913333.34,-0.072003041,-0.456622855,0.1974858023,-0.337196815,0.6672612439,-0.144483276,0.1899140275
0a5bd4c80,2840000,0.2327624948,0.2099723991,-0.542789397,-0.018034905,1.8276308134,0.6859064703,0.8065171476
0a6e926ca,11973333.34,1.7437094402,-1.929166671,-0.395118097,-1.292367283,6.5875803495,0.6948116874,-3.032069031
0a730d90b,1400000,1.9165609197,-2.538273655,-2.238347529,-0.816277269,-3.608770748,-1.414438435,-1.12441194
0a76fdaa3,1000000,-0.028615204,-0.173788882,0.5060682749,1.4466094459,-0.792981168,0.000304099,0.1562875621
0a845633d,6000000,-0.175340779,-0.378638669,0.4519358578,-0.175336778,0.7876535871,1.3201407308,1.2693368023
0a8ec2e6a,5000000,-0.279803325,-0.215437554,0.0669678061,-0.095236216,-0.178853252,-0.088150179,-0.006543269
0aaa23f8a,6000000,-0.248145074,-0.191271516,0.0796493021,-0.037841224,0.0837097777,-0.017868164,-0.079685196
0adce5e78,1800000,-0.241243428,-0.280026072,0.1809258338,-0.108060215,0.2578644764,0.1738584981,0.3396157821
0add41ccf,11600000,-0.053527409,-0.637470213,0.2084254465,-0.454120057,1.1291026545,-0.822113701,-0.368166289
0ae1fdc31,1148000,3.3740259609,-5.402233459,-1.869979113,-0.997602983,2.2187761617,-3.041778579,-1.880027411
0af7c3421,11451000,-0.25133245,-0.111887284,0.0222386469,-0.111123435,-0.325724091,0.2030421418,0.0230601377
0afd2e694,10000000,0.1028372401,-0.413280404,-0.341422895,-0.104873999,0.8541374785,-0.439576357,-0.179531091
0aff378aa,5000000,0.0878320255,-0.115821841,-0.728471868,0.084357711,0.2149432237,-0.006399177,0.4167785802
0b11670cf,3600000,0.0329619329,-0.271910941,-0.126089271,-0.230628079,0.6841291594,0.1422847546,-0.033904718
0b132f2c6,500000,0.4949046869,-0.716834331,0.2828623856,-0.886901167,-0.357850693,-0.513781667,0.1771524601
0b1f5ef87,1916000,0.6250924912,-0.949990672,-0.3708405,-0.708228408,3.6885373554,-1.129971854,0.1898757255
0b20202fc,300000,-0.299977388,-0.181939811,0.0930509751,-0.059259181,-0.078027618,-0.111057393,-0.002848768
0b297d9f3,1800000,1.1287165886,-1.201252404,0.4735201808,-1.406949555,3.8784165826,5.2404533567,-4.744893049
0b59b910e,1900000,0.3763567958,-0.663243553,-0.324828828,-0.527521682,-0.087803786,-0.262892851,-0.359480178
0b625d947,8666666.66,-0.311785424,-0.172785776,0.0986065538,-0.060420504,-0.126152109,-0.113460435,-0.006113854
0ba28f4da,1074000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
0babe6002,400000,-0.254692739,-0.24306781,0.0314510107,-0.011762366,-0.143363279,-0.159859673,0.0172285101
0bbbe8deb,4100000,-0.061797015,-0.503496301,-0.112171395,-0.136927462,0.3814468322,-0.445506269,-0.220209384
0bc4faf0e,104000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
0bd4a8ad2,9300000,0.0270003912,-0.64100004,0.7327084138,-0.212690272,1.9917947975,2.33063312,2.3453618378
0bd9b8737,4676000,0.6450109599,0.0032379762,-1.113025873,0.8491456648,1.592037332,-0.109377476,0.3592690434
0c32c635c,6000000,1.5597784204,-1.497228912,-2.116946053,-0.247259308,-0.274528589,-0.44758154,0.3484364819
0c409e831,450000,-0.313417851,-0.179075483,0.1055751225,-0.053167185,-0.135837962,-0.118841087,-0.027562911
0c444d13b,3600000,0.3428690199,0.1337771456,0.2406540104,0.2507200443,1.2089379457,0.3056289343,0.2730579608
0c4dfffad,4000000,-0.151560612,-0.119480443,0.2992475391,-0.388298117,0.0785276024,-0.298670465,-0.036785126
0c5491505,600000,-0.156629208,-0.021128798,-0.114783401,-0.154000896,0.3503366117,0.248369426,0.4423859708
0c5525a98,180000,-0.312630087,-0.181990906,0.0993189454,-0.05962657,-0.143646261,-0.122569699,-0.018197926
0c5b5c1e0,300000,0.0333198248,-0.226591359,-0.202953533,-0.163662164,0.5515055923,-0.355211451,0.1667555986
0c8b1a649,3500000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
0c97eddd2,10000000,1.0968650075,-1.244216902,0.5219799958,-1.733410607,1.1174241355,1.6898552908,-1.153555123
0cba9fad9,5187333.34,2.6542084155,-1.815564239,-3.554789281,-0.901306674,-0.595910451,1.3538866096,-0.209530568
0cbd1021b,446000,-0.21652287,-0.352736446,0.3717773197,-0.058341621,0.4526124258,0.5044008223,0.702765482
0cc925146,3286666.66,-0.259585767,-0.278334529,0.2603236989,-0.103627095,0.2322150322,0.4512667615,0.4975037504
0ccf73685,8000000,-0.276992784,-0.264474319,0.1293139758,-0.122813182,0.0582978186,-0.198022293,0.0508955781
0cef183f7,60000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
0cef3a40b,2870000,-0.31165157,-0.174983256,0.1061365806,-0.051604749,-0.135781569,-0.128540659,-0.030011261
0cf253360,5000000,0.0437063347,-0.271975517,-0.287394182,-0.054041793,1.1120322274,-0.871309988,-0.692642943
0cfbe380d,400000,-0.298475185,-0.175243829,0.0911615431,-0.076128763,-0.071326482,-0.137274492,-0.021328787
0d00a4015,3000000,-0.279650202,-0.24758326,0.0915698238,-0.067274367,-0.061125461,-0.228763107,-0.019382493
0d3e49bb0,400000,-0.020559435,-0.649097516,-0.352024316,-0.224949318,-0.463836851,-0.05920499,0.4140627938
0d40b481b,8400000,0.2790712175,0.0293657981,0.1143219646,-0.822938309,-1.527604273,0.3747200749,-0.392360201
0d6201f52,16000000,1.8659830575,-2.777586901,-3.477110704,0.2763926921,-4.547840849,-0.147970211,3.6388837474
0d6cfdf99,200000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
0d88e8fc0,360000,-0.308613584,-0.181576035,0.0976716021,-0.061506912,-0.133041694,-0.109907396,-0.022402676
0d89cda20,10000000,1.5002337603,-2.300510109,-1.196531471,0.4007199358,-0.246633138,-2.109268655,2.9623146887
0d930ad35,4000000,0.0087698225,-0.535196273,-0.233245772,-0.11529413,0.4868006808,-0.461908052,-0.07611105
0d933b6ac,30000000,21.806923215,-12.41178717,13.144005039,16.860358815,-19.60303251,2.3643038941,-2.412440331
0dadd8851,1192000,0.7532961951,-0.493897009,1.5222065561,0.3455481339,2.4248013016,-2.301380563,-0.21990231
0dd873736,1200000,0.7684389729,-0.835055285,-0.89348281,-0.565172261,1.6413090649,-1.027536826,-0.586460202
0de8dbd9d,20000000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
